guid/image/axis,value
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0000/x,-3.928729526
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0000/y,-9.239373602
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0000/z,42.64849907
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0001/x,1.74856131
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0001/y,-3.36689038
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0001/z,71.71165962
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0002/x,-2.921646746
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0002/y,-9.491051454
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0002/z,26.47794538
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0003/x,2.799911465
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0003/y,-3.227069351
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0003/z,65.3386222
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0004/x,-1.715360779
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0004/y,-5.967561521
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0004/z,22.3068991
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0005/x,2.855245684
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0005/y,-3.003355705
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0005/z,47.32405845
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0006/x,-7.182381585
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0006/y,-1.996644295
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0006/z,50.9098106
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0007/x,-6.241699867
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0007/y,-3.227069351
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0007/z,30.55522669
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0008/x,-6.451969898
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0008/y,-2.695749441
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0008/z,62.05782605
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0009/x,-7.270916335
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0009/y,-2.807606264
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0009/z,58.36440453
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0010/x,-11.8415228
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0010/y,-3.534675615
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0010/z,40.73079155
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0011/x,-16.44532979
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0011/y,-2.611856823
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0011/z,48.90848373
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0012/x,-1.173085436
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0012/y,-3.506711409
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0012/z,69.89599395
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0013/x,-3.751660027
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0013/y,-0.598434004
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0013/z,23.63535902
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0014/x,-1.792828685
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0014/y,1.414988814
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0014/z,64.37867504
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0015/x,-3.28685259
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0015/y,-0.738255034
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0015/z,72.26777239
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0016/x,-17.7622842
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0016/y,-4.625279642
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0016/z,20.51160002
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0017/x,-22.41035857
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0017/y,-3.562639821
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0017/z,27.40660328
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0018/x,-21.44754316
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0018/y,-4.401565996
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0018/z,76.34548764
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0019/x,-21.2040726
