guid/image,y1,x1,y2,x2
90f7f6d8-5492-4944-adde-a7826caa03e4/0027,121,647,872,1505
90f7f6d8-5492-4944-adde-a7826caa03e4/0021,402,1791,443,1837
90f7f6d8-5492-4944-adde-a7826caa03e4/0015,124,643,880,1506
90f7f6d8-5492-4944-adde-a7826caa03e4/0003,103,651,853,1508
90f7f6d8-5492-4944-adde-a7826caa03e4/0032,124,643,876,1505
90f7f6d8-5492-4944-adde-a7826caa03e4/0046,126,643,867,1502
90f7f6d8-5492-4944-adde-a7826caa03e4/0049,122,644,871,1503
90f7f6d8-5492-4944-adde-a7826caa03e4/0052,120,643,874,1504
90f7f6d8-5492-4944-adde-a7826caa03e4/0040,124,646,876,1504
90f7f6d8-5492-4944-adde-a7826caa03e4/0057,122,645,876,1504
90f7f6d8-5492-4944-adde-a7826caa03e4/0039,119,644,878,1504
90f7f6d8-5492-4944-adde-a7826caa03e4/0025,123,645,873,1505
90f7f6d8-5492-4944-adde-a7826caa03e4/0028,124,643,875,1508
90f7f6d8-5492-4944-adde-a7826caa03e4/0022,127,646,873,1502
90f7f6d8-5492-4944-adde-a7826caa03e4/0031,123,645,876,1505
90f7f6d8-5492-4944-adde-a7826caa03e4/0008,407,1791,448,1835
90f7f6d8-5492-4944-adde-a7826caa03e4/0004,409,1780,454,1833
90f7f6d8-5492-4944-adde-a7826caa03e4/0051,126,642,865,1501
90f7f6d8-5492-4944-adde-a7826caa03e4/0041,123,645,878,1504
90f7f6d8-5492-4944-adde-a7826caa03e4/0007,407,1790,448,1835
90f7f6d8-5492-4944-adde-a7826caa03e4/0038,122,644,875,1506
90f7f6d8-5492-4944-adde-a7826caa03e4/0037,123,643,872,1504
90f7f6d8-5492-4944-adde-a7826caa03e4/0054,120,644,873,1505
90f7f6d8-5492-4944-adde-a7826caa03e4/0056,123,643,869,1501
90f7f6d8-5492-4944-adde-a7826caa03e4/0002,206,663,813,1419
90f7f6d8-5492-4944-adde-a7826caa03e4/0013,407,1791,448,1835
90f7f6d8-5492-4944-adde-a7826caa03e4/0034,122,645,872,1505
90f7f6d8-5492-4944-adde-a7826caa03e4/0026,123,646,873,1506
90f7f6d8-5492-4944-adde-a7826caa03e4/0047,123,643,871,1501
90f7f6d8-5492-4944-adde-a7826caa03e4/0017,123,643,881,1508
90f7f6d8-5492-4944-adde-a7826caa03e4/0033,123,644,873,1505
90f7f6d8-5492-4944-adde-a7826caa03e4/0030,121,644,878,1504
90f7f6d8-5492-4944-adde-a7826caa03e4/0000,419,1639,504,1914
90f7f6d8-5492-4944-adde-a7826caa03e4/0036,121,643,878,1504
90f7f6d8-5492-4944-adde-a7826caa03e4/0042,124,646,871,1504
90f7f6d8-5492-4944-adde-a7826caa03e4/0014,407,1790,449,1835
90f7f6d8-5492-4944-adde-a7826caa03e4/0045,125,643,870,1502
90f7f6d8-5492-4944-adde-a7826caa03e4/0044,129,641,865,1504
90f7f6d8-5492-4944-adde-a7826caa03e4/0043,126,644,869,1505
90f7f6d8-5492-4944-adde-a7826caa03e4/0048,126,642,865,1501
90f7f6d8-5492-4944-adde-a7826caa03e4/0011,127,645,874,1506
90f7f6d8-5492-4944-adde-a7826caa03e4/0023,127,647,870,1502
90f7f6d8-5492-4944-adde-a7826caa03e4/0006,404,1789,449,1834
90f7f6d8-5492-4944-adde-a7826caa03e4/0010,407,1791,449,1835
90f7f6d8-5492-4944-adde-a7826caa03e4/0029,121,646,878,1506
90f7f6d8-5492-4944-adde-a7826caa03e4/0053,121,643,877,1505
90f7f6d8-5492-4944-adde-a7826caa03e4/0055,124,645,868,1499
90f7f6d8-5492-4944-adde-a7826caa03e4/0035,122,645,875,1502
90f7f6d8-5492-4944-adde-a7826caa03e4/0016,124,644,881,1507
90f7f6d8-5492-4944-adde-a7826caa03e4/0018,124,646,876,1504
90f7f6d8-5492-4944-adde-a7826caa03e4/0050,121,644,871,1505
90f7f6d8-5492-4944-adde-a7826caa03e4/0020,129,644,874,1507
90f7f6d8-5492-4944-adde-a7826caa03e4/0024,128,648,873,1504
90f7f6d8-5492-4944-adde-a7826caa03e4/0019,128,646,873,1507
90f7f6d8-5492-4944-adde-a7826caa03e4/0009,406,1790,448,1835
90f7f6d8-5492-4944-adde-a7826caa03e4/0005,407,1790,448,1835
90f7f6d8-5492-4944-adde-a7826caa03e4/0001,294,1336,671,1796
90f7f6d8-5492-4944-adde-a7826caa03e4/0012,406,1791,449,1835
301c7467-993f-4ce5-9952-1f9ab29e0992/0027,427,950,694,1435
301c7467-993f-4ce5-9952-1f9ab29e0992/0021,419,897,649,1322
301c7467-993f-4ce5-9952-1f9ab29e0992/0015,421,737,664,1078
301c7467-993f-4ce5-9952-1f9ab29e0992/0003,368,1243,938,1914
301c7467-993f-4ce5-9952-1f9ab29e0992/0032,357,1024,744,1571
301c7467-993f-4ce5-9952-1f9ab29e0992/0046,412,1101,456,1164
301c7467-993f-4ce5-9952-1f9ab29e0992/0049,411,778,469,869
301c7467-993f-4ce5-9952-1f9ab29e0992/0040,377,1019,704,1593
301c7467-993f-4ce5-9952-1f9ab29e0992/0039,351,1067,734,1690
301c7467-993f-4ce5-9952-1f9ab29e0992/0025,394,928,647,1387
301c7467-993f-4ce5-9952-1f9ab29e0992/0028,408,896,715,1427
301c7467-993f-4ce5-9952-1f9ab29e0992/0022,433,932,639,1341
301c7467-993f-4ce5-9952-1f9ab29e0992/0031,380,835,739,1350
301c7467-993f-4ce5-9952-1f9ab29e0992/0008,407,849,660,1171
301c7467-993f-4ce5-9952-1f9ab29e0992/0004,385,1070,814,1836
301c7467-993f-4ce5-9952-1f9ab29e0992/0041,415,1044,799,1780
301c7467-993f-4ce5-9952-1f9ab29e0992/0007,416,886,681,1246
301c7467-993f-4ce5-9952-1f9ab29e0992/0038,365,1057,793,1776
301c7467-993f-4ce5-9952-1f9ab29e0992/0037,403,1079,795,1914
301c7467-993f-4ce5-9952-1f9ab29e0992/0002,384,956,676,1390
301c7467-993f-4ce5-9952-1f9ab29e0992/0013,392,783,633,1140
301c7467-993f-4ce5-9952-1f9ab29e0992/0034,387,1036,764,1637
301c7467-993f-4ce5-9952-1f9ab29e0992/0026,422,930,661,1383
301c7467-993f-4ce5-9952-1f9ab29e0992/0047,593,0,749,76
301c7467-993f-4ce5-9952-1f9ab29e0992/0017,416,680,651,1042
301c7467-993f-4ce5-9952-1f9ab29e0992/0033,311,1029,753,1731
301c7467-993f-4ce5-9952-1f9ab29e0992/0030,370,894,709,1465
301c7467-993f-4ce5-9952-1f9ab29e0992/0000,363,329,876,1022
301c7467-993f-4ce5-9952-1f9ab29e0992/0036,387,1072,782,1914
301c7467-993f-4ce5-9952-1f9ab29e0992/0042,368,1064,776,1752
301c7467-993f-4ce5-9952-1f9ab29e0992/0014,428,775,662,1119
301c7467-993f-4ce5-9952-1f9ab29e0992/0045,406,987,626,1341
301c7467-993f-4ce5-9952-1f9ab29e0992/0044,399,1007,652,1417
301c7467-993f-4ce5-9952-1f9ab29e0992/0043,397,976,662,1424
301c7467-993f-4ce5-9952-1f9ab29e0992/0048,416,612,464,697
301c7467-993f-4ce5-9952-1f9ab29e0992/0011,409,817,649,1153
301c7467-993f-4ce5-9952-1f9ab29e0992/0023,428,926,640,1348
301c7467-993f-4ce5-9952-1f9ab29e0992/0006,388,952,708,1434
301c7467-993f-4ce5-9952-1f9ab29e0992/0010,400,834,636,1172
301c7467-993f-4ce5-9952-1f9ab29e0992/0029,385,888,707,1485
301c7467-993f-4ce5-9952-1f9ab29e0992/0035,366,1052,846,1855
301c7467-993f-4ce5-9952-1f9ab29e0992/0016,431,696,675,1037
301c7467-993f-4ce5-9952-1f9ab29e0992/0018,390,798,641,1155
301c7467-993f-4ce5-9952-1f9ab29e0992/0050,443,718,471,753
301c7467-993f-4ce5-9952-1f9ab29e0992/0020,387,815,617,1211
301c7467-993f-4ce5-9952-1f9ab29e0992/0024,415,907,657,1354
301c7467-993f-4ce5-9952-1f9ab29e0992/0019,417,849,662,1227
301c7467-993f-4ce5-9952-1f9ab29e0992/0009,416,836,662,1158
301c7467-993f-4ce5-9952-1f9ab29e0992/0005,396,1059,729,1508
301c7467-993f-4ce5-9952-1f9ab29e0992/0001,386,945,663,1352
301c7467-993f-4ce5-9952-1f9ab29e0992/0012,419,830,652,1159
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0185,396,777,513,978
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0188,390,779,425,815
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0224,479,423,559,613
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0070,429,742,494,836
b1d5b43f-be5d-4cf2-84bf-dc9366a6d9e0/0250,396,0,753,450
